AIRLINE,WEEKDAY,CANCELLED,Flights,Percentage
AA,1,41,1277,3.2106499608457324
AA,2,9,1226,0.734094616639478
AA,3,16,1339,1.194921583271098
AA,4,20,1333,1.5003750937734432
AA,5,18,1272,1.4150943396226416
AA,6,21,1125,1.866666666666667
AA,7,29,1328,2.183734939759036
AS,1,0,118,0.0
AS,2,0,106,0.0
AS,3,0,115,0.0
AS,4,0,110,0.0
AS,5,0,109,0.0
AS,6,0,103,0.0
AS,7,0,107,0.0
B6,1,0,70,0.0
B6,2,1,79,1.2658227848101267
B6,3,0,78,0.0
B6,4,0,84,0.0
B6,5,0,84,0.0
B6,6,0,60,0.0
B6,7,0,88,0.0
DL,1,10,1648,0.6067961165048543
DL,2,8,1536,0.5208333333333333
DL,3,8,1559,0.5131494547787042
DL,4,3,1546,0.19404915912031048
DL,5,3,1514,0.19815059445178335
DL,6,4,1252,0.3194888178913738
DL,7,2,1546,0.129366106080207
EV,1,30,879,3.4129692832764507
EV,2,21,878,2.3917995444191344
EV,3,20,873,2.290950744558992
EV,4,22,818,2.689486552567237
EV,5,11,839,1.3110846245530394
EV,6,16,711,2.250351617440225
EV,7,26,860,3.0232558139534884
F9,1,3,186,1.6129032258064515
F9,2,1,186,0.5376344086021506
F9,3,0,192,0.0
F9,4,0,186,0.0
F9,5,1,194,0.5154639175257731
F9,6,2,181,1.1049723756906076
F9,7,3,192,1.5625
HA,1,0,19,0.0
HA,2,0,19,0.0
HA,3,0,19,0.0
HA,4,0,15,0.0
HA,5,0,11,0.0
HA,6,0,12,0.0
HA,7,0,17,0.0
MQ,1,44,507,8.678500986193294
MQ,2,17,518,3.2818532818532815
MQ,3,13,517,2.5145067698259185
MQ,4,22,562,3.9145907473309607
MQ,5,14,500,2.8000000000000003
MQ,6,14,365,3.8356164383561646
MQ,7,28,502,5.577689243027888
NK,1,7,198,3.535353535353535
NK,2,3,228,1.3157894736842104
NK,3,3,215,1.3953488372093024
NK,4,3,227,1.3215859030837005
NK,5,3,234,1.282051282051282
NK,6,4,201,1.9900497512437811
NK,7,2,213,0.9389671361502347
OO,1,30,981,3.058103975535168
OO,2,11,986,1.1156186612576064
OO,3,14,967,1.4477766287487073
OO,4,13,954,1.3626834381551363
OO,5,25,947,2.6399155227032733
OO,6,20,829,2.4125452352231602
OO,7,29,924,3.1385281385281383
UA,1,23,1216,1.8914473684210527
UA,2,20,1143,1.7497812773403325
UA,3,9,1154,0.779896013864818
UA,4,9,1166,0.7718696397941681
UA,5,12,1177,1.0195412064570943
UA,6,6,898,0.6681514476614699
UA,7,14,1038,1.348747591522158
US,1,6,223,2.690582959641256
US,2,4,222,1.8018018018018018
US,3,1,220,0.45454545454545453
US,4,1,253,0.3952569169960474
US,5,2,221,0.904977375565611
US,6,1,213,0.4694835680751174
US,7,6,263,2.2813688212927756
VX,1,1,139,0.7194244604316548
VX,2,0,130,0.0
VX,3,0,183,0.0
VX,4,2,141,1.4184397163120568
VX,5,1,150,0.6666666666666667
VX,6,0,115,0.0
VX,7,2,135,1.4814814814814816
WN,1,16,1259,1.2708498808578237
WN,2,25,1278,1.9561815336463224
WN,3,18,1275,1.411764705882353
WN,4,10,1264,0.7911392405063291
WN,5,7,1201,0.5828476269775187
WN,6,10,987,1.0131712259371835
WN,7,7,1154,0.6065857885615251
